Organization - Name,Organization - ID,Organization - Labels,Organization - Address
"Hormel (HQ) - Austin, MN",4462,"Protein, IQF, Turkey, Beef, Chicken","1 Hormel Place, Austin, MN, USA"
"Kwik Trip - La Crosse, WI",4484,"Bakery, Sandwich, Protein, IQF, Beef, Sausage, ✅Ready, 🗣️Engaged, 👍🏼Qualified, Pizza","2306 Commerce St, La Crosse, WI 54603, USA"
"DiLuigi Foods - Danvers, MA",4490,"Protein, IQF, 🎯Target, ✅Ready","41 Popes Ln, Danvers, MA 01923, USA"
"Impossible Foods - Redwood City, CA",4495,"Protein, IQF, 🎯Target, ✅Ready","400 Saginaw Dr, Redwood City, CA 94063, USA"
"Maid-Rite - Dunmore, PA",4499,"Protein, IQF, Beef, Sausage, 🎯Target, ✅Ready","105 Keystone Industrial Park Road, Dunmore, PA 18512, USA"
"Surlean Foods - San Antonio, TX",4500,"Protein, IQF, Beef, 🎯Target, ✅Ready, 🗣️Engaged, 👍🏼Qualified","2001 S Laredo St, San Antonio, TX 78207, USA"
"CTI Foods - Owingsville, KY",4504,"Protein, IQF, RTE, Beef, Sausage, 🎯Target, ✅Ready","59 Custom Foods, Owingsville, KY, USA"
"CTI Foods - Wilder, ID",4509,"Protein, IQF, Beef, Sausage, 🎯Target, ✅Ready, 🗣️Engaged, RMF","22303 U.S. 95, Wilder, ID 83676, USA"
"Maple Leaf Foods (Field Roast) - Seattle, WA",4512,"Protein, IQF, 🎯Target, ✅Ready","3901 7th Ave S, Seattle, WA 98108, USA"
"Jones Dairy Farm - Fort Atkinson, WI",4513,"Protein, IQF, Sausage, 🎯Target, ✅Ready","800 Jones Avenue, Fort Atkinson, WI 53538, USA"
"Lopez Foods (HQ) - Oklahoma City, OK",4517,"Protein, IQF, Beef, 🎯Target, ✅Ready, 🗣️Engaged, RMF","6016 Northwest 120th Court, Oklahoma City, OK 73162, USA"
"Amylu Foods - Inverness, IL",4536,"Protein, IQF, Sausage, 🎯Target, ✅Ready, 🗣️Engaged, 👍🏼Qualified","1400 W 44th St, Chicago, IL 60609, USA"
"Bell & Evans - Fredericksburg, PA",4537,"Protein, IQF, Chicken, 🎯Target, ✅Ready","520 Chestnut Hill Rd, Fredericksburg, PA 17026, USA"
"Devault Foods / Miami Beef- Devault, PA",4540,"Protein, IQF, Beef, Chicken, 🎯Target, ✅Ready","1 Devault Lane, Malvern, PA, USA"
"Birchwood Foods - Kenosha, WI",4541,"Protein, IQF, Beef, 🎯Target, ✅Ready, 🗣️Engaged, 👍🏼Qualified","3111 152nd Ave, Kenosha, WI 53144, USA"
"King's Command Foods - Versailles, OH",4544,"Protein, IQF, RTE, Beef, 🎯Target, ✅Ready","770 North Center Street, Versailles, OH 45380, USA"
"National Beef - North Baltimore, OH",4545,"Protein, IQF, 🎯Target, ✅Ready, 🗣️Engaged, 👍🏼Qualified","2208 Grant Rd, North Baltimore, OH 45872, USA"
"Wonder Meats - Carlstadt, NJ",4548,"Protein, IQF, Beef, 🎯Target, ✅Ready, 🗣️Engaged","454 20th Street, Carlstadt, NJ 07072, USA"
"Bubba Burgers - Elberton, GA",4553,"Protein, IQF, Beef, 🎯Target, ✅Ready, 🗣️Engaged","1208 Progress Blvd, Elberton, GA 30635, USA"
"American Meat Companies - Dallas, TX",4562,"Protein, IQF, Beef, 🎯Target, ✅Ready, 🗣️Engaged, RMF","2875 E Airfield Dr, Dallas, TX 75261, USA"
"Birchwood Foods - Norcross, GA",4564,"Protein, IQF, Beef, 🎯Target, ✅Ready, 🗣️Engaged, RMF","6009 Goshen Springs Rd, Norcross, GA 30071, USA"
"Central Valley Meat / CLW Foods - Vernon, CA",4573,"Protein, Fresh/Refrigerated, IQF, Beef, 🎯Target, ✅Ready, RMF","3425 E Vernon Ave, Vernon, Los Angeles, CA 90058, USA"
"Don Lee Farms - Mansfield, TX",4577,"Protein, IQF, Beef, 🎯Target, ✅Ready","812 South 5th Avenue, Mansfield, TX 76063, USA"
"Frontiere Natural Meats - Denver, CO",4580,"Protein, Fresh/Refrigerated, IQF, Beef, 🎯Target, ✅Ready","810 E 50th Ave, Denver, CO 80216, USA"
"John Soules Foods - Valley, AL",4591,"🎯Target, ✅Ready, Protein, IQF, Chicken","1135 Towel Ave, Valley, AL 36854, USA"
"Trident Seafoods - Anacortes, WA",4593,"Customer, Protein, IQF, Seafood, 🎯Target, ✅Ready","1400 4th St, Anacortes, WA 98221, USA"
"Rancher's Legacy - Vadnais Heights, MN",4599,"Protein, IQF, Beef, 🎯Target, ✅Ready, RMF","4301 White Bear Parkway, Vadnais Heights, MN 55110, USA"
"Smithfield Culinary - Sioux City, IA",4602,"Protein, IQF, Sausage, 🎯Target, ✅Ready","2201 Murray St, Sioux City, IA 51111, USA"
"Richwood Meat Company - Merced, CA",4604,"Customer, Protein, IQF, Beef, 🎯Target, ✅Ready","2751 Santa Fe Dr, Merced, CA 95348, USA"
"Trident Seafoods - Carrollton, GA",4613,"Protein, IQF, Seafood, 🎯Target, ✅Ready","100 Jerry Dowd Dr, Carrollton, GA 30117, USA"
"Jensen Meat - San Diego, CA",4853,"Protein, IQF, Beef, 🎯Target, ✅Ready, 🗣️Engaged, 👍🏼Qualified","2550 Britannia Blvd ste 101, San Diego, California 92154, USA"
"OSI Group - Fort Atkinson, WI",4860,"Protein, IQF, Beef, 🎯Target, ✅Ready","1200 Industrial Dr, Fort Atkinson, WI 53538, USA"
"Red Bird Farms - Englewood, CO",4861,"Protein, IQF, Chicken, 🎯Target, ✅Ready","2520 S Raritan St, Englewood, CO 80110, USA"
"Stampede Culinary Partners - Cambridge, ON",4863,"Protein, IQF, Beef, 🎯Target, ✅Ready","435 Dobbie Dr, Cambridge, ON N1T 1S9, Canada"
"High Liner Foods - Portsmouth, NH",4865,"Protein, IQF, Seafood, 🎯Target, ✅Ready","1 Highliner Ave, Portsmouth, NH 03801, USA"
"High Liner Foods - Lunenburg, NS",4866,"Protein, IQF, Seafood, 🎯Target, ✅Ready","100 Battery Point Rd, Lunenburg, NS B0J 2C0, Canada"
"Certified Meat Products - Fresno, CA",4867,"Protein, IQF, Beef, 🎯Target, ✅Ready","4586 E Commerce Ave, Fresno, CA 93725, USA"
"Rose Packing / OSI - 4900 Major Ave Chicago, IL",4868,"Protein, IQF, Beef, 🎯Target, ✅Ready","4900 S Major Ave, Chicago, IL 60638, USA"
"Quaker Maid Meats - Reading, PA",4877,"Protein, IQF, Beef, 🎯Target, ✅Ready","610 Morgantown Rd, Reading, PA 19611, USA"
"Plainville Brands - New Oxford, PA",4880,"Protein, Fresh/Refrigerated, IQF, Turkey, 🎯Target, ✅Ready","304 S Water St, New Oxford, PA 17350, USA"
"Golden West Food Group - Fort Worth, TX",4881,"Protein, IQF, Beef, 🎯Target, ✅Ready","2101 Joel East Rd, Fort Worth, TX 76140, USA"
"Cargill - Round Table, TX",4882,"Protein, IQF, RTE, Beef, 🎯Target, ✅Ready","101 South Chisolm Trail Drive, Round Rock, TX 78681, USA"
"HEB Meat Plant - San Antonio, TX",4883,"Protein, IQF, 🎯Target, ✅Ready","4710 N PanAm Expy, San Antonio, TX 78218"
"White Castle - Zanesville, OH",4887,"Protein, Fresh/Refrigerated, IQF, Beef, 🎯Target, ✅Ready, 🗣️Engaged","1500 Ritchey Pkwy, Zanesville, OH 43701, USA"
"White Castle - Vandalia, OH",4888,"Protein, IQF, Beef, 🎯Target, ✅Ready, 🗣️Engaged","1614 Capstone Way, Vandalia, OH 45377, USA"
"White Castle - Orleans, IN",4889,"Protein, Fresh/Refrigerated, IQF, 🎯Target, ✅Ready, 🗣️Engaged","101 E Martin St, Orleans, IN 47452, USA"
"Travisco - Powell, TN",4890,"Protein, IQF, 🎯Target, ✅Ready, RMF","7210 Clinton Hwy, Powell, TN 37849, USA"
"Sterling Pacific Meats - Commerce, CA",4892,"Protein, IQF, Beef, 🎯Target, ✅Ready","6114 Scott Way, Commerce, CA 90040, USA"
"Performance Food Group - West Salem, WI",4893,"Protein, Fresh/Refrigerated, IQF, Beef, 🎯Target","1130 Industrial Dr, West Salem, WI 54669, USA"
"Performance Food Group - Fort Lauderdale, FL",4894,"Protein, Fresh/Refrigerated, IQF, 🎯Target, ✅Ready","240 SW 32nd St, Fort Lauderdale, FL 33315, USA"
"Plymouth Beef - Bronx, NY",4896,"Protein, Fresh/Refrigerated, IQF, Beef, 🎯Target, ✅Ready","355 Food Center Drive, Bronx, NY, USA"
"Burnbrae Farms - Winnipeg, MB",4909,"Protein, IQF, Egg, 🎯Target, ✅Ready","500 Pandora Ave W, Winnipeg, MB R2C 3N2, Canada"
"Burnbrae Farms - Brockville, ON",4910,"Protein, IQF, Egg, 🎯Target, ✅Ready, 🗣️Engaged","260 Central Ave W, Brockville, ON K6V 7J9, Canada"
"Gold Creek - Carryville, TN",4919,"Protein, IQF, RTE, Chicken, 🎯Target","241 Elkins Rd, Jacksboro, TN 37757, USA"
"Foster Farms - Farmerville, LA",4920,"Protein, IQF, Chicken","6648 LA-15, Farmerville, LA 71241, USA"
"JL Beef - Surrey, BC",4921,"Protein, IQF, Beef, 🎯Target, ✅Ready, RMF","17565 65A Avenue, Surrey, BC, Canada"
"Koch Foods - Fairfield, OH",4922,"Protein, IQF, RTE, Beef, Chicken, 🎯Target, ✅Ready","4100 Port Union Rd, Fairfield, OH 45014, USA"
"SSI Foods - Amarillo, TX",4923,"Protein, IQF, Beef, 🎯Target, ✅Ready, RMF","10171 Axiom Dr, Amarillo, TX 79108, USA"
"Kayem Foods - Woburn, MA",4941,"Protein, IQF, RTE, Sausage, 🎯Target, ✅Ready","14 Industrial Pkwy, Woburn, MA 01801, USA"
"Cuisine Solutions - Sterling, VA",4943,"Protein, IQF, RTE, Beef, Sausage, Egg, 🎯Target, ✅Ready","21516 Atlantic Blvd, Sterling, VA 20166, USA"
"Best Chicago Meat - Chicago, IL",4944,"Protein, IQF, Beef, 🎯Target, ✅Ready, 🗣️Engaged, 👍🏼Qualified","4649 W Armitage Ave, Chicago, IL 60639, USA"
"White Castle - Evansdale, OH",4948,"Bakery, IQF, 🎯Target, ✅Ready, 🗣️Engaged, 👍🏼Qualified","3126 Exon Ave, Cincinnati, OH 45241, USA"
"Smithfield - Cudahy, WI",4951,"Protein, Fresh/Refrigerated, IQF, Sausage","1 Sweet Applewood Ln, Cudahy, WI 53110, USA"
"Sofina Foods - Scarborough, ON",4964,"Protein, IQF, Beef, 🎯Target","100 Commerce Valley Drive West, Markham, ON, Canada"
"Sofina Foods - Edmonton, AB",4966,"Protein, IQF, Turkey, Beef, 🎯Target","9620 56 Ave NW, Edmonton, AB T6E 0B3, Canada"
"Maple Leaf Foods - Brampton, ON",4968,"Protein, IQF, Beef, 🎯Target","97 Walker Dr, Brampton, ON L6T 4H6, Canada"
"Maple Leaf Foods - Saskatoon, SK",4969,"Protein, IQF, Sausage, 🎯Target","100 McLeod Ave, Saskatoon, SK S7M 5V9, Canada"
"Maple Leaf Foods (Greenleaf) - Indianapolis, IN",4970,"Protein, IQF, 🎯Target","8735 E 33rd St bldg b, Indianapolis, IN 46226, USA"
"Brakebush (HQ) - Westfield, WI",4971,"Protein, IQF, RTE, Sausage, Chicken, 🎯Target","N4993 6th Dr, Westfield, WI 53964, USA"
"Brakebush - Irving, TX",4972,"Protein, IQF, RTE, Chicken, 🎯Target","2230 E Union Bower Rd, Irving, TX 75061, USA"
"Brakebush - Mocksville, NC",4973,"Protein, IQF, RTE, Chicken, 🎯Target","251 Eaton Rd, Mocksville, NC 27028, USA"
"Brakebush - Wells, MN",4974,"Protein, IQF, RTE, Chicken, 🎯Target","115 North Broadway, Wells, MN 56097, USA"
"Empirical Foods - Sioux City, NE",4976,"Protein, IQF, Beef, 🎯Target","6001 Dakota Ave, South Sioux City, NE 68776, USA"
"JD Sweid Foods - Langley, BC",4977,"Protein, IQF, Beef, 🎯Target","9696 199 A St, Langley Twp, BC V1M 2X7, Canada"
"Rembrandt (Artisans Kitchen) - Newberry, SC",4979,"IQF, RTE, Egg, 🎯Target","2060 Alexander St, Newberry, SC 29108, USA"
"Cargill (Sunny Fresh) - Monticello, MN",4980,"Protein, IQF, RTE, Egg, 🎯Target","206 W 4th St, Monticello, MN 55362, USA"
"Cargill (Sunny Fresh) - Mason City, IA",4981,"Protein, IQF, RTE, Egg, 🎯Target","1750 S Benjamin Ave, Mason City, IA 50401, USA"
"Cargill (Sunny Fresh) - Lake Odessa, MI",4984,"Protein, IQF, Egg, 🎯Target, ✅Ready","3000-3238 Bonanza Rd, Lake Odessa, MI 48849, USA"
"Smithfield (PM - North Side Foods) - Arnold, PA",4988,"Protein, IQF, RTE, Sausage, 🎯Target, ✅Ready","2200 Rivers Edge Rd, New Kensington, PA 15068, USA"
"SK Food Group - Groveport, OH",5007,"Protein, Sandwich, IQF, Beef, 🎯Target, ✅Ready","3301 Toy Rd, Groveport, OH 43125, USA"
"Smithfield (Packaged Meats) - Cincinnati, OH",5008,"Protein, IQF, RTE, Sausage, 🎯Target","11488 Rockfield Court, Sharonville, OH 45241, USA"
"Gerber Poultry - Kidron, OH",5009,"Protein, IQF, Chicken, 🎯Target, ✅Ready","5889 Kidron Rd, Kidron, OH 44636, USA"
